perturbation,level,accuracy
gaussian,0.01,0.972302064280115
gaussian,0.02,0.9231536689075232
gaussian,0.03,0.9359693089768867
gaussian,0.04,0.9727058935316055
gaussian,0.05,0.9752832743425898
gaussian,0.06,0.9739767679407083
gaussian,0.07,0.9611730052022709
gaussian,0.08,0.9723852055965984
gaussian,0.09,0.9359930636387391
gaussian,0.1,0.973774853314963
gaussian,0.11,0.9752832743425898
gaussian,0.12,0.9014300306435138
gaussian,0.13,0.9306363873910255
gaussian,0.14,0.9258735776896216
gaussian,0.15,0.9257429270494335
gaussian,0.16,0.9738461173005202
gaussian,0.17,0.9232249328930803
gaussian,0.18,0.9544148039052665
gaussian,0.19,0.9543791719124878
gaussian,0.2,0.9738579946314464
gaussian,0.21,0.9540703613084067
gaussian,0.22,0.9485711570895788
gaussian,0.23,0.9480604318597525
gaussian,0.24,0.9651994203862508
gaussian,0.25,0.9738817492932988
random_sc,0.01,0.9721714136399269
random_sc,0.02,0.9738461173005202
random_sc,0.03,0.972302064280115
random_sc,0.04,0.9254222391144262
random_sc,0.05,0.9462075682352662
random_sc,0.06,0.9652469297099556
random_sc,0.07,0.9311471126208518
random_sc,0.08,0.973893626624225
random_sc,0.09,0.9301256621611992
random_sc,0.1,0.9609117039218946
random_sc,0.11,0.9670166520179585
random_sc,0.12,0.9752832743425898
random_sc,0.13,0.9737867306458893
random_sc,0.14,0.839941088438606
random_sc,0.15,0.9050051072522982
random_sc,0.16,0.9738461173005202
random_sc,0.17,0.9647599591419816
random_sc,0.18,0.9546285958619379
random_sc,0.19,0.9752832743425898
random_sc,0.2,0.9478941492267857
random_sc,0.21,0.9272394707461339
random_sc,0.22,0.9738817492932988
random_sc,0.23,0.954022851984702
random_sc,0.24,0.9738104853077416
random_sc,0.25,0.9752832743425898
feature_d,0.01,0.9456255790198826
feature_d,0.02,0.9412665985699693
feature_d,0.03,0.9248283725681165
feature_d,0.04,0.9577167019027484
feature_d,0.05,0.9488562130318074
feature_d,0.06,0.8968928902297075
feature_d,0.07,0.9425968596337031
feature_d,0.08,0.9414566358647884
feature_d,0.09,0.888602513243224
feature_d,0.1,0.8860726417559446
feature_d,0.11,0.8125282086609497
feature_d,0.12,0.929139843694325
feature_d,0.13,0.8829607810532817
feature_d,0.14,0.911347601966886
feature_d,0.15,0.9079506853219944
feature_d,0.16,0.9158491103879136
feature_d,0.17,0.8767845689716607
feature_d,0.18,0.9120602418224577
feature_d,0.19,0.9065254056108512
feature_d,0.2,0.8990189324654964
feature_d,0.21,0.8896595956956552
feature_d,0.22,0.9002422975508944
feature_d,0.23,0.8800627123072903
feature_d,0.24,0.8795876190702425
feature_d,0.25,0.8935078509157423
feature_p,0.01,0.9737273439912583
feature_p,0.02,0.9055039551511984
feature_p,0.03,0.9739173812860774
feature_p,0.04,0.9613155331733853
feature_p,0.05,0.9738461173005202
feature_p,0.06,0.9752832743425898
feature_p,0.07,0.9317409791671616
feature_p,0.08,0.9752832743425898
feature_p,0.09,0.911288215312255
feature_p,0.1,0.8399292111076799
feature_p,0.11,0.9481198185143834
feature_p,0.12,0.9644392712069744
feature_p,0.13,0.9290329477159892
feature_p,0.14,0.9463857281991591
feature_p,0.15,0.9336888614390574
feature_p,0.16,0.899909732284961
feature_p,0.17,0.837613131577072
feature_p,0.18,0.9493194289379291
feature_p,0.19,0.8732332470247286
feature_p,0.2,0.8935316055775946
feature_p,0.21,0.908532674537378
feature_p,0.22,0.855405373304511
feature_p,0.23,0.8229089958904435
feature_p,0.24,0.8696581704159442
feature_p,0.25,0.8942442454331663
