perturbation,level,accuracy
gaussian,0.01,0.9356842530346581
gaussian,0.02,0.9817445423664394
gaussian,0.03,0.9788227189585956
gaussian,0.04,0.9980164857353255
gaussian,0.05,0.9745706344870181
gaussian,0.06,0.9979452217497684
gaussian,0.07,0.9971375632467872
gaussian,0.08,0.8707033755374493
gaussian,0.09,0.9961754994417654
gaussian,0.1,0.997980853742547
gaussian,0.11,0.9353635650996508
gaussian,0.12,0.8704895835807778
gaussian,0.13,0.9980164857353255
gaussian,0.14,0.9907356818775684
gaussian,0.15,0.9937287692709694
gaussian,0.16,0.9248164952371903
gaussian,0.17,0.9980283630662518
gaussian,0.18,0.9960092168087987
gaussian,0.19,0.9897023540869896
gaussian,0.2,0.9360999596170748
gaussian,0.21,0.9815426277406941
gaussian,0.22,0.9925172815164977
gaussian,0.23,0.9957360381974962
gaussian,0.24,0.9979095897569898
gaussian,0.25,0.9979689764116207
random_sc,0.01,0.9788821056132266
random_sc,0.02,0.9907950685321995
random_sc,0.03,0.9906644178920113
random_sc,0.04,0.9928142147896525
random_sc,0.05,0.9636791220276979
random_sc,0.06,0.9980046084043994
random_sc,0.07,0.9857234482267145
random_sc,0.08,0.9971138085849348
random_sc,0.09,0.9250540418557142
random_sc,0.1,0.9855452882628216
random_sc,0.11,0.9979689764116207
random_sc,0.12,0.9901061833384802
random_sc,0.13,0.9980046084043994
random_sc,0.14,0.9853314963061501
random_sc,0.15,0.8715110340404304
random_sc,0.16,0.9637385086823289
random_sc,0.17,0.9907356818775684
random_sc,0.18,0.9741905598973799
random_sc,0.19,0.9237119034610543
random_sc,0.2,0.9979689764116207
random_sc,0.21,0.9649618737677269
random_sc,0.22,0.9960923581252821
random_sc,0.23,0.9979333444188422
random_sc,0.24,0.9980046084043994
random_sc,0.25,0.9980046084043994
feature_d,0.01,0.9231417915765969
feature_d,0.02,0.9105161888020524
feature_d,0.03,0.9028078010309524
feature_d,0.04,0.901133097370359
feature_d,0.05,0.8977005487326888
feature_d,0.06,0.8925101551179419
feature_d,0.07,0.8803240135876665
feature_d,0.08,0.8790887711713424
feature_d,0.09,0.883530892937739
feature_d,0.1,0.8778891607477968
feature_d,0.11,0.8697294344015013
feature_d,0.12,0.8715466660332091
feature_d,0.13,0.8744566121101266
feature_d,0.14,0.8764044943820225
feature_d,0.15,0.8716179300187662
feature_d,0.16,0.8676509014894173
feature_d,0.17,0.8573888875691854
feature_d,0.18,0.857293868921776
feature_d,0.19,0.8374587262750315
feature_d,0.2,0.8665700643751336
feature_d,0.21,0.8623417345654084
feature_d,0.22,0.8656555098938167
feature_d,0.23,0.8621041879468846
feature_d,0.24,0.8609402095161175
feature_d,0.25,0.8561298904910088
feature_p,0.01,0.9814832410860631
feature_p,0.02,0.9979689764116207
feature_p,0.03,0.9971375632467872
feature_p,0.04,0.9818633156757014
feature_p,0.05,0.974808181105542
feature_p,0.06,0.9899399007055134
feature_p,0.07,0.980984393187163
feature_p,0.08,0.9900586740147754
feature_p,0.09,0.9746775304653539
feature_p,0.1,0.8617478680190988
feature_p,0.11,0.9649856284295794
feature_p,0.12,0.980865619877901
feature_p,0.13,0.9611967598641233
feature_p,0.14,0.8380525928213411
feature_p,0.15,0.9244839299712568
feature_p,0.16,0.9560538755730812
feature_p,0.17,0.9270375561203886
feature_p,0.18,0.8476494762097062
feature_p,0.19,0.9037223555122693
feature_p,0.2,0.9872556239161936
feature_p,0.21,0.8513552034586788
feature_p,0.22,0.8578639808062333
feature_p,0.23,0.842197781314583
feature_p,0.24,0.8482314654250896
feature_p,0.25,0.9697009288072784
