perturbation,level,accuracy
gaussian,0.01,0.9088771171342376
gaussian,0.02,0.9299237475354538
gaussian,0.03,0.936836354134499
gaussian,0.04,0.9334038054968288
gaussian,0.05,0.9332850321875669
gaussian,0.06,0.9368957407891298
gaussian,0.07,0.9339382853885075
gaussian,0.08,0.9300781528374944
gaussian,0.09,0.9366700715015321
gaussian,0.1,0.934520274603891
gaussian,0.11,0.9268237641637171
gaussian,0.12,0.9089602584507209
gaussian,0.13,0.9143644440221393
gaussian,0.14,0.9268000095018647
gaussian,0.15,0.9382378791837899
gaussian,0.16,0.9368007221417203
gaussian,0.17,0.8068745991400812
gaussian,0.18,0.9269781694657576
gaussian,0.19,0.9300900301684205
gaussian,0.2,0.9343421146399981
gaussian,0.21,0.9339976720431384
gaussian,0.22,0.926206142955555
gaussian,0.23,0.9303988407725016
gaussian,0.24,0.9094472290186949
gaussian,0.25,0.9083188825807065
random_sc,0.01,0.9342470959925886
random_sc,0.02,0.9225835570230658
random_sc,0.03,0.9061690856830653
random_sc,0.04,0.9342946053162933
random_sc,0.05,0.9108962633916906
random_sc,0.06,0.9387842364063947
random_sc,0.07,0.933843266741098
random_sc,0.08,0.938368529823978
random_sc,0.09,0.9259685963370311
random_sc,0.1,0.9299475021973063
random_sc,0.11,0.923450602180678
random_sc,0.12,0.9379528232415612
random_sc,0.13,0.9296505689241513
random_sc,0.14,0.9367294581561632
random_sc,0.15,0.9372164287241371
random_sc,0.16,0.9112525833194765
random_sc,0.17,0.9372401833859895
random_sc,0.18,0.9343421146399981
random_sc,0.19,0.9375371166591444
random_sc,0.2,0.9104805568092739
random_sc,0.21,0.937335202033399
random_sc,0.22,0.9133192389006343
random_sc,0.23,0.9372639380478419
random_sc,0.24,0.9124997030667269
random_sc,0.25,0.9382853885074945
feature_d,0.01,0.932809938950519
feature_d,0.02,0.9314559232249329
feature_d,0.03,0.9316340831888258
feature_d,0.04,0.9281540252274509
feature_d,0.05,0.9284509585006058
feature_d,0.06,0.9249471458773785
feature_d,0.07,0.9240088367342091
feature_d,0.08,0.924246383352733
feature_d,0.09,0.897284842150272
feature_d,0.1,0.8985794712212272
feature_d,0.11,0.8973679834667554
feature_d,0.12,0.9179157659690714
feature_d,0.13,0.9178563793144404
feature_d,0.14,0.9123690524265388
feature_d,0.15,0.8945411787063211
feature_d,0.16,0.910064850226857
feature_d,0.17,0.9103974154927904
feature_d,0.18,0.909756039622776
feature_d,0.19,0.9080813359621825
feature_d,0.2,0.8977599353873198
feature_d,0.21,0.9039836567926456
feature_d,0.22,0.9038173741596789
feature_d,0.23,0.9029740836639191
feature_d,0.24,0.8930921443333254
feature_d,0.25,0.9009905693992446
feature_p,0.01,0.9387842364063947
feature_p,0.02,0.9363968928902298
feature_p,0.03,0.9344015012946291
feature_p,0.04,0.9387842364063947
feature_p,0.05,0.9375371166591444
feature_p,0.06,0.9339857947122123
feature_p,0.07,0.93739458868803
feature_p,0.08,0.9387842364063947
feature_p,0.09,0.9051832672161911
feature_p,0.1,0.9037342328431954
feature_p,0.11,0.9374420980117348
feature_p,0.12,0.9065966695964083
feature_p,0.13,0.9357080076965104
feature_p,0.14,0.9346034159203743
feature_p,0.15,0.9175119367175808
feature_p,0.16,0.8999572416086657
feature_p,0.17,0.9236643941373495
feature_p,0.18,0.9165617502434853
feature_p,0.19,0.9034372995700406
feature_p,0.2,0.9006936361260898
feature_p,0.21,0.9030572249804024
feature_p,0.22,0.7994275126493574
feature_p,0.23,0.9165973822362639
feature_p,0.24,0.8932584269662921
feature_p,0.25,0.908413901228116
