perturbation,level,accuracy
combined_all,0.01,0.9284747131624581
combined_all,0.02,0.8998265909684776
combined_all,0.03,0.9228329809725159
combined_all,0.04,0.9189253390977979
combined_all,0.05,0.9022733211392736
combined_all,0.06,0.895206309238188
combined_all,0.07,0.9143050573675083
combined_all,0.08,0.8512007981566383
combined_all,0.09,0.8676033921657125
combined_all,0.1,0.8658693018504882
combined_all,0.11,0.8761550704325723
combined_all,0.12,0.8290376986483597
combined_all,0.13,0.8927952110601706
combined_all,0.14,0.8755136945625579
combined_all,0.15,0.8683397866831366
combined_all,0.16,0.859930636387391
combined_all,0.17,0.8770815022448155
combined_all,0.18,0.8147373922132218
combined_all,0.19,0.8168396797871582
combined_all,0.2,0.8335748390621659
combined_all,0.21,0.8722236738960021
combined_all,0.22,0.8682922773594318
combined_all,0.23,0.8793619497826448
combined_all,0.24,0.8648240967289831
combined_all,0.25,0.8670807896049599
