perturbation,level,accuracy
gaussian,0.01,0.9297337102406347
gaussian,0.02,0.9300187661828634
gaussian,0.03,0.9245789486186664
gaussian,0.04,0.934579661258522
gaussian,0.05,0.9287835237665392
gaussian,0.06,0.9323348457134712
gaussian,0.07,0.9053020405254532
gaussian,0.08,0.9245789486186664
gaussian,0.09,0.9339976720431384
gaussian,0.1,0.8934722189229636
gaussian,0.11,0.9350785091574222
gaussian,0.12,0.9089840131125734
gaussian,0.13,0.9108487540679858
gaussian,0.14,0.929080457039694
gaussian,0.15,0.9268950281492743
gaussian,0.16,0.9063710003088106
gaussian,0.17,0.9294605316293323
gaussian,0.18,0.9257429270494335
gaussian,0.19,0.9342589733235147
gaussian,0.2,0.9083188825807065
gaussian,0.21,0.8772834168705609
gaussian,0.22,0.9114069886215169
gaussian,0.23,0.9324298643608808
gaussian,0.24,0.9331900135401573
gaussian,0.25,0.837672518231703
random_sc,0.01,0.9697246834691308
random_sc,0.02,0.9127847590089555
random_sc,0.03,0.9697246834691308
random_sc,0.04,0.9672066893127776
random_sc,0.05,0.9373589566952515
random_sc,0.06,0.8903603582203007
random_sc,0.07,0.9273344893935435
random_sc,0.08,0.9116801672328194
random_sc,0.09,0.9538328146898829
random_sc,0.1,0.8901584435945554
random_sc,0.11,0.9599733947787253
random_sc,0.12,0.9278095826305912
random_sc,0.13,0.92834406252227
random_sc,0.14,0.9631090101432406
random_sc,0.15,0.9697246834691308
random_sc,0.16,0.9626814262298976
random_sc,0.17,0.9697246834691308
random_sc,0.18,0.846604271088201
random_sc,0.19,0.9697246834691308
random_sc,0.2,0.9311114806280733
random_sc,0.21,0.9626101622443405
random_sc,0.22,0.9112525833194765
random_sc,0.23,0.9223578877354681
random_sc,0.24,0.9132717295769295
random_sc,0.25,0.9364325248830083
feature_d,0.01,0.9641660925956719
feature_d,0.02,0.9608879492600423
feature_d,0.03,0.9425968596337031
feature_d,0.04,0.9526213269354111
feature_d,0.05,0.9483692424638335
feature_d,0.06,0.9454236643941374
feature_d,0.07,0.9413734945483051
feature_d,0.08,0.9377984179395207
feature_d,0.09,0.9333800508349763
feature_d,0.1,0.9079388079910683
feature_d,0.11,0.9275364040192888
feature_d,0.12,0.9235693754899399
feature_d,0.13,0.8253082167375347
feature_d,0.14,0.8728531724350904
feature_d,0.15,0.892213221844787
feature_d,0.16,0.8700382450055824
feature_d,0.17,0.9099104449248165
feature_d,0.18,0.9059434163954676
feature_d,0.19,0.8815830106658432
feature_d,0.2,0.9002898068745991
feature_d,0.21,0.8837565622253367
feature_d,0.22,0.8964534289854383
feature_d,0.23,0.888970710501936
feature_d,0.24,0.8903959902130794
feature_d,0.25,0.8795994964011687
feature_p,0.01,0.9697246834691308
feature_p,0.02,0.9592132455994489
feature_p,0.03,0.9626576715680453
feature_p,0.04,0.9274651400337316
feature_p,0.05,0.9277739506378126
feature_p,0.06,0.962823954201012
feature_p,0.07,0.8477207401952633
feature_p,0.08,0.9655676176449628
feature_p,0.09,0.9130698149511842
feature_p,0.1,0.8890894838111979
feature_p,0.11,0.9592132455994489
feature_p,0.12,0.9697246834691308
feature_p,0.13,0.9594864242107514
feature_p,0.14,0.9293061263272917
feature_p,0.15,0.8903009715656698
feature_p,0.16,0.9245551939568141
feature_p,0.17,0.9255885217473929
feature_p,0.18,0.8773784355179705
feature_p,0.19,0.8654654725989975
feature_p,0.2,0.8990901964510535
feature_p,0.21,0.9146851319571466
feature_p,0.22,0.8042734636672447
feature_p,0.23,0.8501318383732808
feature_p,0.24,0.9193172910183623
feature_p,0.25,0.8638976649167399
