perturbation,level,accuracy
combined_all,0.01,0.9695702781670903
combined_all,0.02,0.9201843361759745
combined_all,0.03,0.9610779865548614
combined_all,0.04,0.9570159393781029
combined_all,0.05,0.9545692092073069
combined_all,0.06,0.9495807302183054
combined_all,0.07,0.9450673444663515
combined_all,0.08,0.9435351687768725
combined_all,0.09,0.8942086134403877
combined_all,0.1,0.8780554433807635
combined_all,0.11,0.9174525500629499
combined_all,0.12,0.8917500059386655
combined_all,0.13,0.9068936028695631
combined_all,0.14,0.8066014205287788
combined_all,0.15,0.8862864337126161
combined_all,0.16,0.8815473786730645
combined_all,0.17,0.8702520369622538
combined_all,0.18,0.8751692519656983
combined_all,0.19,0.8974867567760173
combined_all,0.2,0.8826282157873483
combined_all,0.21,0.8547877520963489
combined_all,0.22,0.8598356177399815
combined_all,0.23,0.849846782431052
combined_all,0.24,0.8601800603368411
combined_all,0.25,0.8550846853695038
