perturbation,level,accuracy
combined_all,0.01,0.940815259994774
combined_all,0.02,0.8953013278855976
combined_all,0.03,0.8955032425113428
combined_all,0.04,0.9269069054802005
combined_all,0.05,0.913307361569708
combined_all,0.06,0.9124759484048744
combined_all,0.07,0.8904316222058579
combined_all,0.08,0.9199349122265245
combined_all,0.09,0.9114307432833694
combined_all,0.1,0.9126541083687674
combined_all,0.11,0.8890419744874932
combined_all,0.12,0.8890419744874932
combined_all,0.13,0.8894933130626885
combined_all,0.14,0.8928902297075801
combined_all,0.15,0.8744447347792004
combined_all,0.16,0.8924151364705324
combined_all,0.17,0.8834002422975509
combined_all,0.18,0.859194241869967
combined_all,0.19,0.8869634415754092
combined_all,0.2,0.8804902962206334
combined_all,0.21,0.8553816186426586
combined_all,0.22,0.8584578473525429
combined_all,0.23,0.8687554932655533
combined_all,0.24,0.8707746395230064
combined_all,0.25,0.8483383614034254
