perturbation,level,accuracy
combined_all,0.01,0.9285578544789415
combined_all,0.02,0.9275245266883626
combined_all,0.03,0.9283559398531962
combined_all,0.04,0.9275007720265102
combined_all,0.05,0.9172625127681308
combined_all,0.06,0.9152314891797515
combined_all,0.07,0.9232011782312278
combined_all,0.08,0.9127134950233984
combined_all,0.09,0.9162054303156995
combined_all,0.1,0.8963465330071027
combined_all,0.11,0.9190678670689123
combined_all,0.12,0.9161579209919947
combined_all,0.13,0.9148632919210395
combined_all,0.14,0.8998028363066252
combined_all,0.15,0.8992327244221678
combined_all,0.16,0.887260374848564
combined_all,0.17,0.8951944319072618
combined_all,0.18,0.8930208803477683
combined_all,0.19,0.8938879255053804
combined_all,0.2,0.8629949877663492
combined_all,0.21,0.8792788084661615
combined_all,0.22,0.8844692020809084
combined_all,0.23,0.8843147967788678
combined_all,0.24,0.7989999287360144
combined_all,0.25,0.8888044278689693
