perturbation,level,accuracy
gaussian,0.01,0.9036748461885645
gaussian,0.02,0.9238663087630947
gaussian,0.03,0.9238544314321686
gaussian,0.04,0.9028671876855833
gaussian,0.05,0.9347221892296363
gaussian,0.06,0.9335819654607217
gaussian,0.07,0.9085445518683042
gaussian,0.08,0.9040430434472765
gaussian,0.09,0.9342233413307361
gaussian,0.1,0.8554410052972896
gaussian,0.11,0.9303275767869444
gaussian,0.12,0.9060028030500986
gaussian,0.13,0.9019645105351926
gaussian,0.14,0.924923391215526
gaussian,0.15,0.9232843195477113
gaussian,0.16,0.8776278594674205
gaussian,0.17,0.9335938427916478
gaussian,0.18,0.9259329643442525
gaussian,0.19,0.9251490605031237
gaussian,0.2,0.8937097655414875
gaussian,0.21,0.9304701047580588
gaussian,0.22,0.8920944485355251
gaussian,0.23,0.9050763712378554
gaussian,0.24,0.9344371332874076
gaussian,0.25,0.8367817184122384
random_sc,0.01,0.9265862175451932
random_sc,0.02,0.921989690476756
random_sc,0.03,0.9364562795448607
random_sc,0.04,0.9597239708292753
random_sc,0.05,0.9591301042829655
random_sc,0.06,0.9378459272632254
random_sc,0.07,0.9697246834691308
random_sc,0.08,0.9355298477326175
random_sc,0.09,0.9670522840107371
random_sc,0.1,0.8784949046250327
random_sc,0.11,0.8461885645057843
random_sc,0.12,0.9596883388364966
random_sc,0.13,0.9674679905931539
random_sc,0.14,0.9535596360785804
random_sc,0.15,0.9682875264270613
random_sc,0.16,0.9697246834691308
random_sc,0.17,0.8460222818728176
random_sc,0.18,0.9697246834691308
random_sc,0.19,0.9600446587642825
random_sc,0.2,0.9112407059885502
random_sc,0.21,0.9697246834691308
random_sc,0.22,0.9659358149036749
random_sc,0.23,0.9683350357507661
random_sc,0.24,0.9355060930707652
random_sc,0.25,0.9532745801363518
feature_d,0.01,0.9643442525595648
feature_d,0.02,0.9310164619806637
feature_d,0.03,0.9490224956647743
feature_d,0.04,0.9222034824334275
feature_d,0.05,0.9350309998337174
feature_d,0.06,0.9460531629332256
feature_d,0.07,0.9149226785756704
feature_d,0.08,0.9257548043803596
feature_d,0.09,0.9330237309071905
feature_d,0.1,0.9095660023279568
feature_d,0.11,0.9052188992089698
feature_d,0.12,0.9015369266218496
feature_d,0.13,0.9054802004893461
feature_d,0.14,0.9112288286576241
feature_d,0.15,0.9160153930208803
feature_d,0.16,0.9127253723543245
feature_d,0.17,0.9092096824001711
feature_d,0.18,0.868185381381096
feature_d,0.19,0.8870228282300402
feature_d,0.2,0.8798964296743236
feature_d,0.21,0.8660355844834549
feature_d,0.22,0.8926645604199824
feature_d,0.23,0.8623773665581871
feature_d,0.24,0.8759294011449748
feature_d,0.25,0.878637432596147
feature_p,0.01,0.9133311162315605
feature_p,0.02,0.9278808466161484
feature_p,0.03,0.9697246834691308
feature_p,0.04,0.8469962230087654
feature_p,0.05,0.9532983347982041
feature_p,0.06,0.967349217283892
feature_p,0.07,0.9630021141649049
feature_p,0.08,0.8912511580397653
feature_p,0.09,0.8409387842364064
feature_p,0.1,0.7854241394873744
feature_p,0.11,0.8880917880133976
feature_p,0.12,0.9596883388364966
feature_p,0.13,0.9306363873910255
feature_p,0.14,0.9128916549872913
feature_p,0.15,0.924436420647552
feature_p,0.16,0.9276908093213293
feature_p,0.17,0.9101955008670451
feature_p,0.18,0.9086039385229351
feature_p,0.19,0.8745516307575362
feature_p,0.2,0.8953132052165237
feature_p,0.21,0.9151364705323419
feature_p,0.22,0.7863743259614699
feature_p,0.23,0.893436586930185
feature_p,0.24,0.9061096990284343
feature_p,0.25,0.8816780293132527
