perturbation,level,accuracy
combined_all,0.01,0.9320616671021688
combined_all,0.02,0.9271919614224291
combined_all,0.03,0.9334513148205336
combined_all,0.04,0.9210276266717343
combined_all,0.05,0.9027484143763214
combined_all,0.06,0.9239019407558733
combined_all,0.07,0.9151364705323419
combined_all,0.08,0.9082238639332969
combined_all,0.09,0.803620210466304
combined_all,0.1,0.906275981661401
combined_all,0.11,0.8952300639000403
combined_all,0.12,0.8858232178064945
combined_all,0.13,0.9077250160343967
combined_all,0.14,0.8919756752262632
combined_all,0.15,0.8755730812171889
combined_all,0.16,0.8559517305271159
combined_all,0.17,0.7939520630923819
combined_all,0.18,0.7864099579542485
combined_all,0.19,0.798358552866
combined_all,0.2,0.8811554267525001
combined_all,0.21,0.7872176164572298
combined_all,0.22,0.8365322944627883
combined_all,0.23,0.8550490533767252
combined_all,0.24,0.8799439389980284
combined_all,0.25,0.7751740028980687
