perturbation,level,accuracy
combined_all,0.01,0.9075468560705038
combined_all,0.02,0.9066204242582607
combined_all,0.03,0.9245789486186664
combined_all,0.04,0.8869278095826306
combined_all,0.05,0.8996959403282895
combined_all,0.06,0.9009668147373923
combined_all,0.07,0.8963465330071027
combined_all,0.08,0.9050169845832244
combined_all,0.09,0.8936978882105613
combined_all,0.1,0.899185215098463
combined_all,0.11,0.8813335867163931
combined_all,0.12,0.869408746466494
combined_all,0.13,0.8974511247832387
combined_all,0.14,0.858766657956624
combined_all,0.15,0.8132289711855952
combined_all,0.16,0.8766064090077678
combined_all,0.17,0.8305579970069126
combined_all,0.18,0.869408746466494
combined_all,0.19,0.8167565384706749
combined_all,0.2,0.8680428534099817
combined_all,0.21,0.8556904292467397
combined_all,0.22,0.8424234506021807
combined_all,0.23,0.8162220585789961
combined_all,0.24,0.8641352115352638
combined_all,0.25,0.8330641138323396
