perturbation,level,accuracy
gaussian,0.01,0.9099935862412999
gaussian,0.02,0.9130698149511842
gaussian,0.03,0.9196854882770744
gaussian,0.04,0.9301850488158301
gaussian,0.05,0.9151839798560467
gaussian,0.06,0.9160391476827328
gaussian,0.07,0.9154690357982754
gaussian,0.08,0.933783880086467
gaussian,0.09,0.9186284058246431
gaussian,0.1,0.9343183599781457
gaussian,0.11,0.9290210703850631
gaussian,0.12,0.9281421478965247
gaussian,0.13,0.9404470627360619
gaussian,0.14,0.9401144974701285
gaussian,0.15,0.9402332707793905
gaussian,0.16,0.9426681236192603
gaussian,0.17,0.935316055775946
gaussian,0.18,0.9315628192032687
gaussian,0.19,0.9199111575646721
gaussian,0.2,0.9308145473549184
gaussian,0.21,0.9349953678409387
gaussian,0.22,0.9408033826638478
gaussian,0.23,0.9296743235860038
gaussian,0.24,0.8963109010143241
gaussian,0.25,0.940387676081431
random_sc,0.01,0.9258498230277692
random_sc,0.02,0.8118036914744519
random_sc,0.03,0.9194123096657719
random_sc,0.04,0.9339857947122123
random_sc,0.05,0.9355536023944699
random_sc,0.06,0.9322517043969879
random_sc,0.07,0.9445328645746728
random_sc,0.08,0.9445328645746728
random_sc,0.09,0.9431432168563081
random_sc,0.1,0.9270256787894624
random_sc,0.11,0.8106990996983158
random_sc,0.12,0.9360762049552225
random_sc,0.13,0.9354110744233556
random_sc,0.14,0.9431788488490866
random_sc,0.15,0.8117680594816733
random_sc,0.16,0.9445328645746728
random_sc,0.17,0.9197567522626315
random_sc,0.18,0.92968620091693
random_sc,0.19,0.9295080409530371
random_sc,0.2,0.9346746799059316
random_sc,0.21,0.9445328645746728
random_sc,0.22,0.9351735278048317
random_sc,0.23,0.9347696985533411
random_sc,0.24,0.9141625293963941
random_sc,0.25,0.9306482647219517
feature_d,0.01,0.930422595434354
feature_d,0.02,0.9399838468299404
feature_d,0.03,0.9288666650830225
feature_d,0.04,0.9280471292491151
feature_d,0.05,0.9253034658051643
feature_d,0.06,0.9216214932180441
feature_d,0.07,0.890004038292515
feature_d,0.08,0.9193291683492886
feature_d,0.09,0.9127966363398817
feature_d,0.1,0.9113238473050336
feature_d,0.11,0.9082594959260755
feature_d,0.12,0.8937691521961185
feature_d,0.13,0.9099935862412999
feature_d,0.14,0.9015012946290709
feature_d,0.15,0.8976649167399102
feature_d,0.16,0.8986032258830795
feature_d,0.17,0.892949616362211
feature_d,0.18,0.8969047675606338
feature_d,0.19,0.8992089697603155
feature_d,0.2,0.8016485735325558
feature_d,0.21,0.9018338598950044
feature_d,0.22,0.9007530227807207
feature_d,0.23,0.8792906857970877
feature_d,0.24,0.8784117633085493
feature_d,0.25,0.8908948381119794
feature_p,0.01,0.9158372330569874
feature_p,0.02,0.9350547544955697
feature_p,0.03,0.9263486709266694
feature_p,0.04,0.927857091954296
feature_p,0.05,0.9304582274271326
feature_p,0.06,0.9429888115542675
feature_p,0.07,0.9111219326792883
feature_p,0.08,0.9108249994061335
feature_p,0.09,0.9264911988977836
feature_p,0.1,0.920208090837827
feature_p,0.11,0.9174881820557285
feature_p,0.12,0.9220609544623132
feature_p,0.13,0.9409102786421836
feature_p,0.14,0.9132836069078557
feature_p,0.15,0.9162529396394042
feature_p,0.16,0.9058246430862057
feature_p,0.17,0.793595743164596
feature_p,0.18,0.7902463358434093
feature_p,0.19,0.8940779628001996
feature_p,0.2,0.8561536451528613
feature_p,0.21,0.9098391809392593
feature_p,0.22,0.8540038482552201
feature_p,0.23,0.8753474119295912
feature_p,0.24,0.8925101551179419
feature_p,0.25,0.8016960828562606
