perturbation,level,accuracy
combined_all,0.01,0.951397961850013
combined_all,0.02,0.9596527068437181
combined_all,0.03,0.9174525500629499
combined_all,0.04,0.9579542485212723
combined_all,0.05,0.9557806969617787
combined_all,0.06,0.9369076181200561
combined_all,0.07,0.9259092096824002
combined_all,0.08,0.92222723709528
combined_all,0.09,0.9330949948927477
combined_all,0.1,0.9361474689407796
combined_all,0.11,0.9066085469273345
combined_all,0.12,0.8786255552652208
combined_all,0.13,0.9028078010309524
combined_all,0.14,0.8955388745041214
combined_all,0.15,0.8956220158206047
combined_all,0.16,0.888543126588593
combined_all,0.17,0.8869278095826306
combined_all,0.18,0.9011449747012851
combined_all,0.19,0.9038648834833836
combined_all,0.2,0.8769983609283322
combined_all,0.21,0.8680666080718341
combined_all,0.22,0.8773903128488966
combined_all,0.23,0.874361593462717
combined_all,0.24,0.8598950043946124
combined_all,0.25,0.8474950709076656
