perturbation,level,accuracy
combined_all,0.01,0.9330118535762644
combined_all,0.02,0.9130341829584055
combined_all,0.03,0.9060503123738034
combined_all,0.04,0.8986151032140057
combined_all,0.05,0.8993990070551345
combined_all,0.06,0.8992446017530941
combined_all,0.07,0.8895526997173195
combined_all,0.08,0.8950281492742951
combined_all,0.09,0.8642183528517472
combined_all,0.1,0.8644440221393448
combined_all,0.11,0.8327909352210371
combined_all,0.12,0.8373993396204005
combined_all,0.13,0.8721286552485925
combined_all,0.14,0.8585053566762477
combined_all,0.15,0.8338598950043946
combined_all,0.16,0.8342637242558852
combined_all,0.17,0.8648240967289831
combined_all,0.18,0.8671282989286647
combined_all,0.19,0.862496139867449
combined_all,0.2,0.84763759887878
combined_all,0.21,0.8581965460721667
combined_all,0.22,0.8452858873553935
combined_all,0.23,0.8509988835308929
combined_all,0.24,0.8440743996009217
combined_all,0.25,0.8243699075943653
