perturbation,level,accuracy
gaussian,0.01,0.9656626362923724
gaussian,0.02,0.9720882723234435
gaussian,0.03,0.9738817492932988
gaussian,0.04,0.9009668147373923
gaussian,0.05,0.973953013278856
gaussian,0.06,0.9752832743425898
gaussian,0.07,0.902665273059838
gaussian,0.08,0.9542128892795211
gaussian,0.09,0.9248164952371903
gaussian,0.1,0.9738698719623726
gaussian,0.11,0.966553436111837
gaussian,0.12,0.8413782454806756
gaussian,0.13,0.9738579946314464
gaussian,0.14,0.9739767679407083
gaussian,0.15,0.9363850155593035
gaussian,0.16,0.9348053305461197
gaussian,0.17,0.9720882723234435
gaussian,0.18,0.9009074280827613
gaussian,0.19,0.9009905693992446
gaussian,0.2,0.9472646506876975
gaussian,0.21,0.9740242772644131
gaussian,0.22,0.9646886951564244
gaussian,0.23,0.9361237142789273
gaussian,0.24,0.9752832743425898
gaussian,0.25,0.9737986079768155
random_sc,0.01,0.9737629759840368
random_sc,0.02,0.9738342399695941
random_sc,0.03,0.9311114806280733
random_sc,0.04,0.9470983680547307
random_sc,0.05,0.9255528897546144
random_sc,0.06,0.9486661757369884
random_sc,0.07,0.9647955911347602
random_sc,0.08,0.9752832743425898
random_sc,0.09,0.9480723091906786
random_sc,0.1,0.9650806470769888
random_sc,0.11,0.9467895574506497
random_sc,0.12,0.9480841865216049
random_sc,0.13,0.9739173812860774
random_sc,0.14,0.8381357341378245
random_sc,0.15,0.9739411359479297
random_sc,0.16,0.9314796778867853
random_sc,0.17,0.9752832743425898
random_sc,0.18,0.9738579946314464
random_sc,0.19,0.9254935030999834
random_sc,0.2,0.936111836948001
random_sc,0.21,0.9011449747012851
random_sc,0.22,0.9014775399672186
random_sc,0.23,0.9017863505712996
random_sc,0.24,0.966802860061287
random_sc,0.25,0.946932085421764
feature_d,0.01,0.9216096158871179
feature_d,0.02,0.9671829346509252
feature_d,0.03,0.9396394042330808
feature_d,0.04,0.9211226453191439
feature_d,0.05,0.9488680903627337
feature_d,0.06,0.949687626196641
feature_d,0.07,0.9456374563508089
feature_d,0.08,0.9364919115376392
feature_d,0.09,0.9349834905100126
feature_d,0.1,0.9325486376701427
feature_d,0.11,0.8906572914934556
feature_d,0.12,0.9276789319904031
feature_d,0.13,0.9245908259495926
feature_d,0.14,0.9212889279521106
feature_d,0.15,0.9162529396394042
feature_d,0.16,0.9165379955816328
feature_d,0.17,0.9125947217141364
feature_d,0.18,0.909637266313514
feature_d,0.19,0.8824500558234554
feature_d,0.2,0.8926051737653514
feature_d,0.21,0.9039717794617194
feature_d,0.22,0.8881630519989548
feature_d,0.23,0.8984250659191867
feature_d,0.24,0.8687554932655533
feature_d,0.25,0.8758700144903437
feature_p,0.01,0.9739292586170036
feature_p,0.02,0.9042093260802433
feature_p,0.03,0.9738698719623726
feature_p,0.04,0.9752832743425898
feature_p,0.05,0.9310164619806637
feature_p,0.06,0.9015606812837019
feature_p,0.07,0.900586740147754
feature_p,0.08,0.9724445922512293
feature_p,0.09,0.9727652801862365
feature_p,0.1,0.8381951207924555
feature_p,0.11,0.9132004655913724
feature_p,0.12,0.8375656222533672
feature_p,0.13,0.8298097251585623
feature_p,0.14,0.900954937406466
feature_p,0.15,0.8849918046416609
feature_p,0.16,0.8832933463192152
feature_p,0.17,0.8293940185761456
feature_p,0.18,0.890562272846046
feature_p,0.19,0.9621825783309974
feature_p,0.2,0.8535643870109509
feature_p,0.21,0.809238187994394
feature_p,0.22,0.9280946385728199
feature_p,0.23,0.908295127918854
feature_p,0.24,0.8524954272275934
feature_p,0.25,0.8634582036724707
