perturbation,level,accuracy
combined_all,0.01,0.907071762833456
combined_all,0.02,0.9050763712378554
combined_all,0.03,0.9288072784283916
combined_all,0.04,0.930303822125092
combined_all,0.05,0.9088058531486805
combined_all,0.06,0.9244601753094045
combined_all,0.07,0.9271325747677982
combined_all,0.08,0.9206713067439485
combined_all,0.09,0.9119652231750481
combined_all,0.1,0.8073378150462028
combined_all,0.11,0.8957764211226453
combined_all,0.12,0.902178302491864
combined_all,0.13,0.9134498895408224
combined_all,0.14,0.9036273368648597
combined_all,0.15,0.9004917215003444
combined_all,0.16,0.9062047176758439
combined_all,0.17,0.8798132883578402
combined_all,0.18,0.8845998527210965
combined_all,0.19,0.8845523433973917
combined_all,0.2,0.8884956172648882
combined_all,0.21,0.8068745991400812
combined_all,0.22,0.8097132812314417
combined_all,0.23,0.8798964296743236
combined_all,0.24,0.8797301470413569
combined_all,0.25,0.8750861106492149
