perturbation,level,accuracy
gaussian,0.01,0.9818276836829227
gaussian,0.02,0.9790008789224885
gaussian,0.03,0.9980046084043994
gaussian,0.04,0.9906525405610851
gaussian,0.05,0.9783951350452527
gaussian,0.06,0.9812219398056868
gaussian,0.07,0.9979333444188422
gaussian,0.08,0.9924103855381619
gaussian,0.09,0.9960686034634297
gaussian,0.1,0.9787870869658171
gaussian,0.11,0.9979927310734732
gaussian,0.12,0.9637385086823289
gaussian,0.13,0.9366819488324584
gaussian,0.14,0.9900467966838492
gaussian,0.15,0.9979689764116207
gaussian,0.16,0.9980164857353255
gaussian,0.17,0.9980046084043994
gaussian,0.18,0.9970544219303038
gaussian,0.19,0.9248640045608951
gaussian,0.2,0.997980853742547
gaussian,0.21,0.9787870869658171
gaussian,0.22,0.9980164857353255
gaussian,0.23,0.9251253058412714
gaussian,0.24,0.9979333444188422
gaussian,0.25,0.9979333444188422
random_sc,0.01,0.9853314963061501
random_sc,0.02,0.9970900539230824
random_sc,0.03,0.9746181438107229
random_sc,0.04,0.9855927975865264
random_sc,0.05,0.9747250397890586
random_sc,0.06,0.9970425445993776
random_sc,0.07,0.9940138252131981
random_sc,0.08,0.9898805140508825
random_sc,0.09,0.997980853742547
random_sc,0.1,0.9642373565812291
random_sc,0.11,0.9815663824025465
random_sc,0.12,0.998040240397178
random_sc,0.13,0.9362543649191154
random_sc,0.14,0.9980046084043994
random_sc,0.15,0.997921467087916
random_sc,0.16,0.9980046084043994
random_sc,0.17,0.9980046084043994
random_sc,0.18,0.9972088272323444
random_sc,0.19,0.9980046084043994
random_sc,0.2,0.9940969665296815
random_sc,0.21,0.9980046084043994
random_sc,0.22,0.9908544551868305
random_sc,0.23,0.9644392712069744
random_sc,0.24,0.9859016081906075
random_sc,0.25,0.9928854787752096
feature_d,0.01,0.8958358077772763
feature_d,0.02,0.9196973656080005
feature_d,0.03,0.9122502791172767
feature_d,0.04,0.9098748129320379
feature_d,0.05,0.8992089697603155
feature_d,0.06,0.8963465330071027
feature_d,0.07,0.8894458037389837
feature_d,0.08,0.8868565455970734
feature_d,0.09,0.8886381452360026
feature_d,0.1,0.869099935862413
feature_d,0.11,0.8757156091883032
feature_d,0.12,0.8720692685939616
feature_d,0.13,0.8736370762762192
feature_d,0.14,0.8715466660332091
feature_d,0.15,0.871178468774497
feature_d,0.16,0.856628738389909
feature_d,0.17,0.8644321448084187
feature_d,0.18,0.8655842459082594
feature_d,0.19,0.8686248426253652
feature_d,0.2,0.8613796707603867
feature_d,0.21,0.8635294676580278
feature_d,0.22,0.8642302301826733
feature_d,0.23,0.8511889208257121
feature_d,0.24,0.853077416442977
feature_d,0.25,0.8519609473359147
feature_p,0.01,0.9940969665296815
feature_p,0.02,0.9789177376060052
feature_p,0.03,0.997125685915861
feature_p,0.04,0.9928142147896525
feature_p,0.05,0.9979452217497684
feature_p,0.06,0.9900230420219969
feature_p,0.07,0.990094306007554
feature_p,0.08,0.990581276575528
feature_p,0.09,0.9979452217497684
feature_p,0.1,0.9737510986531107
feature_p,0.11,0.9925529135092762
feature_p,0.12,0.9939544385585671
feature_p,0.13,0.9783832577143264
feature_p,0.14,0.9980046084043994
feature_p,0.15,0.9726108748841961
feature_p,0.16,0.8672827042307053
feature_p,0.17,0.9810794118345726
feature_p,0.18,0.9070480081716037
feature_p,0.19,0.8532436990759437
feature_p,0.2,0.9804617906264105
feature_p,0.21,0.986851794664703
feature_p,0.22,0.8521391072998076
feature_p,0.23,0.8451433593842792
feature_p,0.24,0.986792408010072
feature_p,0.25,0.9115970259163361
