Source IP,Source Port,Destination IP,Destination Port,Protocol,Flow Duration,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
10.0.2.15,57188,82.161.239.177,110,6,4735770.0,906510.851419032,3.3785424546,15671.8270440252,996566.792859795,3897923.0,28.0,676508.857142857,1425870.81273193,3898126.0,169179.0,676320.285714286,1425919.95112836,3898131.0,965.0,837639.0,0.0,837639.0,0.0,3897923.0,0.0,3897923.0,3897923.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,2166938.0,692040.166682005,89.988730642,2805.439079169,44566.722211398,423441.0,0.0,29684.0821917808,69893.4790830052,423441.0,222.0,18052.45,57589.2280094131,424338.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4747642.0,1169202.64291235,3.5807249157,7898.6650868878,933056.745542583,3743359.0,0.0,678175.857142857,1370180.43694829,3743562.0,1719.0,593429.875,1290197.32238129,3743573.0,451.0,203.0,0.0,203.0,0.0,3743359.0,0.0,3743359.0,3743359.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,37405.0,1971.1059110795,53.4687875952,255.0,0.0,37405.0,40.0,37405.0,0.0,37405.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,41.0,245780.800014445,48780.4878048781,45906.7857142857,0.0,41.0,195.0,41.0,0.0,41.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4961110.0,1103.5963650514,12.6987710412,13340.8235294118,307051.245431454,2007954.0,10.0,183737.259259259,450238.31883396,2007978.0,460.0,145906.970588235,405707.140601817,2008877.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4472147.0,94307.2214743444,165.02140918,6775.6968838527,23566.0864413231,331933.0,192.0,16320.7153284672,37959.1463325019,331976.0,3.0,9674.2922077922,31010.0551759648,331979.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4988706.0,872.0608981487,201.2545938766,13605.7287671233,22927.0722993374,608241.0,55.0,14130.9093484419,38015.4664712384,608450.0,18.0,7685.6733436055,28746.9218802755,608241.0,5.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4997452.0,4034.9712585134,291.3484711809,2697.4709397067,18345.2744906427,507041.0,38.0,10014.9338677355,30722.4588598507,508936.0,39.0,5232.8910994765,22668.4946220625,507041.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4975528.0,19363.8989483121,215.8564879948,16829.3973063973,24856.6231723086,572352.0,9.0,13557.2179836512,41516.7214413242,573247.0,179.0,7056.0340425532,30418.5942918476,572352.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,3181524.0,8478.4015403797,168.7870341384,1045.0721930745,33344.0342759526,740503.0,53.0,17103.8440860215,55965.1238892377,740503.0,210906.0,9109.8853868195,42957.4514373534,778531.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,45.0,715.3713371435,44444.4444444444,6530.5484293194,0.0,45.0,20.0,45.0,0.0,45.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4965923.0,18615.580589435,30.004492619,12490.425,184177.131756044,2080569.0,4.0,81408.0655737705,282245.529151946,2080569.0,104.0,57739.4534883721,239524.909191982,2080801.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4999648.0,26411.7431770584,417.2293729479,15261.2232415902,17218.6097635133,470447.0,0.0,7071.6379066478,29453.2203526313,470725.0,6.0,3592.8576615832,21196.7214782711,470447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4999979.0,61920.0262221398,377.0015834067,12308.575308642,12403.8609257386,373418.0,16.0,7716.0169753086,20578.7795905289,373633.0,69.0,4048.1813765182,15395.2592774501,373418.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,1369372.0,221405.999556679,147.5128745147,293.0,46400.873386642,541474.0,12.0,19284.3661971831,77611.4192421339,541474.0,117.0,10615.2015503876,60465.5183554256,580582.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,858001.0,21625.3131807923,4.6619992284,15593.9878048781,495294.362206288,857917.0,18.0,429000.5,606631.857327407,857954.0,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4925689.0,46260.2135006667,29.4375061032,274456.176470588,205597.31115488,2342960.0,0.0,78185.5396825397,307638.246610173,2342960.0,148135.0,61566.675,278074.827731982,2383866.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4999342.0,618416.530238052,309.2406960756,10652.2068965517,16568.1276039811,474905.0,17.0,9468.3977272727,27777.8522195075,475120.0,0.0,4920.5777559055,20291.5799128958,474905.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4993806.0,21094.6079409058,425.3268949575,283.0,18181.8106046426,488943.0,4.0,6822.1393442623,30777.9627322937,489178.0,26.0,3592.6223021583,22715.4005496927,488943.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4686000.0,232970.753752716,381.9889031157,3062.8976715686,16288.2693974882,456175.0,40.0,7631.7182410424,27539.2844988466,456630.0,27.0,3991.4625212947,20367.3185477398,456175.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,713119.0,18803.7886098201,5.6091620052,2294.1060119321,380429.602055799,676490.0,12.0,356462.5,452587.230832356,676490.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,43.0,9125.4633410819,46511.6279069767,9116.8416206262,0.0,43.0,27.0,43.0,0.0,43.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,273.0,6693.005606134,7326.0073260073,14393.0173410405,0.0,273.0,0.0,0.0,0.0,0.0,1667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4798331.0,21595.2126507343,22.299420361,84017.6666666667,257870.568097642,2563165.0,16.0,106625.422222222,390217.795637285,2563165.0,0.0,79965.2,345084.600534361,2601069.0,7.0,758592.0,0.0,758592.0,0.0,2563165.0,0.0,2563165.0,2563165.0,AUDIO
