perturbation,level,accuracy
gaussian,0.01,0.8637
gaussian,0.02,0.7483
gaussian,0.03,0.8634
gaussian,0.04,0.8375
gaussian,0.05,0.8635
gaussian,0.06,0.8598
gaussian,0.07,0.6332
gaussian,0.08,0.6447
gaussian,0.09,0.6494
gaussian,0.10,0.6522
gaussian,0.11,0.8635
gaussian,0.12,0.7171
gaussian,0.13,0.8632
gaussian,0.14,0.7520
gaussian,0.15,0.8635
gaussian,0.16,0.6321
gaussian,0.17,0.7468
gaussian,0.18,0.8633
gaussian,0.19,0.8637
gaussian,0.20,0.8635
gaussian,0.21,0.6273
gaussian,0.22,0.7485
gaussian,0.23,0.8636
gaussian,0.24,0.8391
gaussian,0.25,0.8594
random_sc,0.01,0.8633
random_sc,0.02,0.8426
random_sc,0.03,0.8599
random_sc,0.04,0.8528
random_sc,0.05,0.8169
random_sc,0.06,0.6412
random_sc,0.07,0.8435
random_sc,0.08,0.6332
random_sc,0.09,0.8493
random_sc,0.10,0.4196
random_sc,0.11,0.5267
random_sc,0.12,0.8368
random_sc,0.13,0.8280
random_sc,0.14,0.6067
random_sc,0.15,0.6317
random_sc,0.16,0.2865
random_sc,0.17,0.6228
random_sc,0.18,0.6146
random_sc,0.19,0.5269
random_sc,0.20,0.6897
random_sc,0.21,0.3022
random_sc,0.22,0.2610
random_sc,0.23,0.4864
random_sc,0.24,0.6176
random_sc,0.25,0.8344
feature_d,0.01,0.8491
feature_d,0.02,0.8300
feature_d,0.03,0.8123
feature_d,0.04,0.7977
feature_d,0.05,0.7880
feature_d,0.06,0.7628
feature_d,0.07,0.6661
feature_d,0.08,0.5682
feature_d,0.09,0.5708
feature_d,0.10,0.7084
feature_d,0.11,0.5348
feature_d,0.12,0.5476
feature_d,0.13,0.6691
feature_d,0.14,0.6551
feature_d,0.15,0.6436
feature_d,0.16,0.5151
feature_d,0.17,0.6159
feature_d,0.18,0.6055
feature_d,0.19,0.5886
feature_d,0.20,0.5924
feature_d,0.21,0.4789
feature_d,0.22,0.4686
feature_d,0.23,0.5536
feature_d,0.24,0.4897
feature_d,0.25,0.5363
feature_p,0.01,0.6448
feature_p,0.02,0.7159
feature_p,0.03,0.6547
feature_p,0.04,0.8404
feature_p,0.05,0.8634
feature_p,0.06,0.8634
feature_p,0.07,0.7550
feature_p,0.08,0.6531
feature_p,0.09,0.7481
feature_p,0.10,0.6561
feature_p,0.11,0.8634
feature_p,0.12,0.7148
feature_p,0.13,0.6291
feature_p,0.14,0.6486
feature_p,0.15,0.6898
feature_p,0.16,0.6572
feature_p,0.17,0.6481
feature_p,0.18,0.8634
feature_p,0.19,0.5603
feature_p,0.20,0.7512
feature_p,0.21,0.5090
feature_p,0.22,0.5764
feature_p,0.23,0.4944
feature_p,0.24,0.5116
feature_p,0.25,0.5139
