perturbation,level,accuracy
gaussian,0.01,0.9679
gaussian,0.02,0.6637
gaussian,0.03,0.7253
gaussian,0.04,0.6430
gaussian,0.05,0.6024
gaussian,0.06,0.6805
gaussian,0.07,0.6002
gaussian,0.08,0.9679
gaussian,0.09,0.9321
gaussian,0.10,0.6842
gaussian,0.11,0.8910
gaussian,0.12,0.9677
gaussian,0.13,0.6874
gaussian,0.14,0.9321
gaussian,0.15,0.6035
gaussian,0.16,0.9678
gaussian,0.17,0.8895
gaussian,0.18,0.5974
gaussian,0.19,0.6010
gaussian,0.20,0.9676
gaussian,0.21,0.9678
gaussian,0.22,0.9313
gaussian,0.23,0.9674
gaussian,0.24,0.6817
gaussian,0.25,0.9330
random_sc,0.01,0.8864
random_sc,0.02,0.8068
random_sc,0.03,0.8821
random_sc,0.04,0.5622
random_sc,0.05,0.8840
random_sc,0.06,0.7660
random_sc,0.07,0.7900
random_sc,0.08,0.5556
random_sc,0.09,0.7903
random_sc,0.10,0.7308
random_sc,0.11,0.7737
random_sc,0.12,0.5360
random_sc,0.13,0.7947
random_sc,0.14,0.7894
random_sc,0.15,0.4970
random_sc,0.16,0.5722
random_sc,0.17,0.5438
random_sc,0.18,0.5165
random_sc,0.19,0.7183
random_sc,0.20,0.6918
random_sc,0.21,0.5037
random_sc,0.22,0.5822
random_sc,0.23,0.6826
random_sc,0.24,0.6427
random_sc,0.25,0.4557
feature_d,0.01,0.5679
feature_d,0.02,0.9011
feature_d,0.03,0.5670
feature_d,0.04,0.8078
feature_d,0.05,0.8047
feature_d,0.06,0.7880
feature_d,0.07,0.5557
feature_d,0.08,0.7350
feature_d,0.09,0.5178
feature_d,0.10,0.6916
feature_d,0.11,0.6739
feature_d,0.12,0.5221
feature_d,0.13,0.4927
feature_d,0.14,0.6089
feature_d,0.15,0.4565
feature_d,0.16,0.5716
feature_d,0.17,0.5613
feature_d,0.18,0.5466
feature_d,0.19,0.4184
feature_d,0.20,0.4401
feature_d,0.21,0.4486
feature_d,0.22,0.4993
feature_d,0.23,0.4886
feature_d,0.24,0.4722
feature_d,0.25,0.4094
feature_p,0.01,0.8902
feature_p,0.02,0.5540
feature_p,0.03,0.9678
feature_p,0.04,0.9328
feature_p,0.05,0.9678
feature_p,0.06,0.9678
feature_p,0.07,0.9678
feature_p,0.08,0.9320
feature_p,0.09,0.6857
feature_p,0.10,0.6323
feature_p,0.11,0.4572
feature_p,0.12,0.5701
feature_p,0.13,0.5484
feature_p,0.14,0.6478
feature_p,0.15,0.5128
feature_p,0.16,0.5390
feature_p,0.17,0.5801
feature_p,0.18,0.5907
feature_p,0.19,0.4954
feature_p,0.20,0.5177
feature_p,0.21,0.5866
feature_p,0.22,0.3483
feature_p,0.23,0.4730
feature_p,0.24,0.4540
feature_p,0.25,0.4225
