perturbation,level,accuracy
gaussian,0.01,0.7465
gaussian,0.02,0.7465
gaussian,0.03,0.7032
gaussian,0.04,0.7465
gaussian,0.05,0.7465
gaussian,0.06,0.7465
gaussian,0.07,0.7067
gaussian,0.08,0.7465
gaussian,0.09,0.7465
gaussian,0.10,0.7465
gaussian,0.11,0.6581
gaussian,0.12,0.7465
gaussian,0.13,0.7086
gaussian,0.14,0.7465
gaussian,0.15,0.6785
gaussian,0.16,0.6365
gaussian,0.17,0.7465
gaussian,0.18,0.7465
gaussian,0.19,0.6364
gaussian,0.20,0.6814
gaussian,0.21,0.7465
gaussian,0.22,0.7273
gaussian,0.23,0.7465
gaussian,0.24,0.7281
gaussian,0.25,0.7465
random_sc,0.01,0.6348
random_sc,0.02,0.6131
random_sc,0.03,0.7432
random_sc,0.04,0.6947
random_sc,0.05,0.7470
random_sc,0.06,0.7432
random_sc,0.07,0.7408
random_sc,0.08,0.6446
random_sc,0.09,0.7357
random_sc,0.10,0.6522
random_sc,0.11,0.6093
random_sc,0.12,0.6814
random_sc,0.13,0.6705
random_sc,0.14,0.6159
random_sc,0.15,0.6985
random_sc,0.16,0.7481
random_sc,0.17,0.6388
random_sc,0.18,0.6721
random_sc,0.19,0.6262
random_sc,0.20,0.6583
random_sc,0.21,0.6946
random_sc,0.22,0.7390
random_sc,0.23,0.6965
random_sc,0.24,0.7507
random_sc,0.25,0.6600
feature_d,0.01,0.7170
feature_d,0.02,0.7113
feature_d,0.03,0.6797
feature_d,0.04,0.7115
feature_d,0.05,0.7067
feature_d,0.06,0.6875
feature_d,0.07,0.6724
feature_d,0.08,0.6800
feature_d,0.09,0.6715
feature_d,0.10,0.6508
feature_d,0.11,0.5679
feature_d,0.12,0.6471
feature_d,0.13,0.5611
feature_d,0.14,0.5507
feature_d,0.15,0.5697
feature_d,0.16,0.6147
feature_d,0.17,0.5716
feature_d,0.18,0.4987
feature_d,0.19,0.4851
feature_d,0.20,0.5833
feature_d,0.21,0.5119
feature_d,0.22,0.5163
feature_d,0.23,0.5557
feature_d,0.24,0.5435
feature_d,0.25,0.5394
feature_p,0.01,0.6381
feature_p,0.02,0.7264
feature_p,0.03,0.7465
feature_p,0.04,0.7465
feature_p,0.05,0.7465
feature_p,0.06,0.7465
feature_p,0.07,0.7465
feature_p,0.08,0.7465
feature_p,0.09,0.6955
feature_p,0.10,0.6795
feature_p,0.11,0.7071
feature_p,0.12,0.5860
feature_p,0.13,0.7100
feature_p,0.14,0.6147
feature_p,0.15,0.6364
feature_p,0.16,0.6190
feature_p,0.17,0.6624
feature_p,0.18,0.5786
feature_p,0.19,0.5713
feature_p,0.20,0.5843
feature_p,0.21,0.5597
feature_p,0.22,0.5822
feature_p,0.23,0.5460
feature_p,0.24,0.7071
feature_p,0.25,0.6530
