level,accuracy
0.01,0.7702488453849866
0.02,0.7609429930378439
0.03,0.6325911628868822
0.04,0.5838560694836975
0.05,0.7350934031846694
0.06,0.6301530401213291
0.07,0.7140001378644792
0.08,0.6863583097814848
0.09,0.6195629696008823
0.10,0.6758116771213897
0.11,0.6301096022609775
0.12,0.5493588859782159
0.13,0.5625560074446819
0.14,0.5229199696698146
0.15,0.4508857792789688
0.16,0.5356035017577722
0.17,0.4375129247949266
0.18,0.5183704418556558
0.19,0.5635899910388088
0.20,0.42165850968497964
0.21,0.49796649893155026
0.22,0.5076170124767354
0.23,0.41317984421313847
0.24,0.5265407417620295
0.25,0.3997380574894878
