perturbation,level,accuracy
gaussian,0.01,0.7206176328668918
gaussian,0.02,0.7862411249741504
gaussian,0.03,0.6724803529573969
gaussian,0.04,0.7544464359575348
gaussian,0.05,0.7780381884607431
gaussian,0.06,0.6744795257134979
gaussian,0.07,0.654511615082374
gaussian,0.08,0.7869304473702351
gaussian,0.09,0.6736522818144216
gaussian,0.10,0.7765906114289653
gaussian,0.11,0.6831184945198869
gaussian,0.12,0.729096298338733
gaussian,0.13,0.7250982284414421
gaussian,0.14,0.7843799545047219
gaussian,0.15,0.7015923347349555
gaussian,0.16,0.6668275196470426
gaussian,0.17,0.7529987591341514
gaussian,0.18,0.7246846350037913
gaussian,0.19,0.704625353277728
gaussian,0.20,0.656579582270628
gaussian,0.21,0.7015923347349555
gaussian,0.22,0.7604604673605846
gaussian,0.23,0.7761080857517061
gaussian,0.24,0.7158613083339078
gaussian,0.25,0.7774867305438754
random_sc,0.01,0.6692631143585855
random_sc,0.02,0.8121596470669332
random_sc,0.03,0.8741297304749431
random_sc,0.04,0.7867236506514097
random_sc,0.05,0.8709588474529537
random_sc,0.06,0.8442820707244778
random_sc,0.07,0.8634452333356311
random_sc,0.08,0.804852829668436
random_sc,0.09,0.8741297304749431
random_sc,0.10,0.8635141655752395
random_sc,0.11,0.8568966705728269
random_sc,0.12,0.7798304266905631
random_sc,0.13,0.8706831184945198
random_sc,0.14,0.8437995450472185
random_sc,0.15,0.8122285793065417
random_sc,0.16,0.8707520507341283
random_sc,0.17,0.7544633625146481
random_sc,0.18,0.8639277590128903
random_sc,0.19,0.7775556627834839
random_sc,0.20,0.8433859516095678
random_sc,0.21,0.7782449851795685
random_sc,0.22,0.8593092989591232
random_sc,0.23,0.7546701592334735
random_sc,0.24,0.7825877162749018
random_sc,0.25,0.8107810022747639
feature_d,0.01,0.8473150892672503
feature_d,0.02,0.7558420073068174
feature_d,0.03,0.7806576135658647
feature_d,0.04,0.8064382711794306
feature_d,0.05,0.8178810229544358
feature_d,0.06,0.7416419659474737
feature_d,0.07,0.7356448611015372
feature_d,0.08,0.7337147583925002
feature_d,0.09,0.7187564623974633
feature_d,0.10,0.7616323154339284
feature_d,0.11,0.6869313482216708
feature_d,0.12,0.676156338319432
feature_d,0.13,0.711587509478183
feature_d,0.14,0.7116564417177914
feature_d,0.15,0.6768233834275472
feature_d,0.16,0.6197008340800992
feature_d,0.17,0.6847039360308816
feature_d,0.18,0.575032742813814
feature_d,0.19,0.6586475494588819
feature_d,0.20,0.6434135245054112
feature_d,0.21,0.5694195505308148
feature_d,0.22,0.6322465016888399
feature_d,0.23,0.5860904328646264
feature_d,0.24,0.6047425380850624
feature_d,0.25,0.6035706900117185
feature_p,0.01,0.8435238160887847
feature_p,0.02,0.7868615151306266
feature_p,0.03,0.7823809195560764
feature_p,0.04,0.8108499345143724
feature_p,0.05,0.8446267319225201
feature_p,0.06,0.8660646584407528
feature_p,0.07,0.844902460880954
feature_p,0.08,0.8326899214118296
feature_p,0.09,0.7532915144413042
feature_p,0.10,0.7752808988764045
feature_p,0.11,0.8737850692769008
feature_p,0.12,0.744036950227492
feature_p,0.13,0.6698145722754533
feature_p,0.14,0.5641803391699987
feature_p,0.15,0.6818777142069345
feature_p,0.16,0.6574067691459295
feature_p,0.17,0.7978217412283725
feature_p,0.18,0.6509960708623423
feature_p,0.19,0.6606465844075274
feature_p,0.20,0.6327726458017372
feature_p,0.21,0.5363297945677651
feature_p,0.22,0.6680912662852416
feature_p,0.23,0.5265407417620295
feature_p,0.24,0.5884745295374647
feature_p,0.25,0.5939201764665334
