perturbation,level,accuracy
gaussian,0.01,0.8691
gaussian,0.02,0.8221
gaussian,0.03,0.8132
gaussian,0.04,0.8588
gaussian,0.05,0.8547
gaussian,0.06,0.8622
gaussian,0.07,0.8492
gaussian,0.08,0.7950
gaussian,0.09,0.8630
gaussian,0.10,0.8581
gaussian,0.11,0.8694
gaussian,0.12,0.8532
gaussian,0.13,0.8521
gaussian,0.14,0.7914
gaussian,0.15,0.8667
gaussian,0.16,0.8601
gaussian,0.17,0.8574
gaussian,0.18,0.8188
gaussian,0.19,0.8579
gaussian,0.20,0.8703
gaussian,0.21,0.8478
gaussian,0.22,0.8585
gaussian,0.23,0.8672
gaussian,0.24,0.8518
gaussian,0.25,0.7904
random_sc,0.01,0.7455
random_sc,0.02,0.8202
random_sc,0.03,0.8584
random_sc,0.04,0.8634
random_sc,0.05,0.8594
random_sc,0.06,0.8702
random_sc,0.07,0.8151
random_sc,0.08,0.8567
random_sc,0.09,0.8142
random_sc,0.10,0.8702
random_sc,0.11,0.7635
random_sc,0.12,0.7924
random_sc,0.13,0.8570
random_sc,0.14,0.8505
random_sc,0.15,0.7950
random_sc,0.16,0.8610
random_sc,0.17,0.8628
random_sc,0.18,0.8566
random_sc,0.19,0.7944
random_sc,0.20,0.7986
random_sc,0.21,0.7918
random_sc,0.22,0.8559
random_sc,0.23,0.8649
random_sc,0.24,0.8210
random_sc,0.25,0.7032
feature_d,0.01,0.8508
feature_d,0.02,0.7398
feature_d,0.03,0.7512
feature_d,0.04,0.7894
feature_d,0.05,0.7814
feature_d,0.06,0.7584
feature_d,0.07,0.7246
feature_d,0.08,0.7989
feature_d,0.09,0.7839
feature_d,0.10,0.7101
feature_d,0.11,0.7151
feature_d,0.12,0.7059
feature_d,0.13,0.7063
feature_d,0.14,0.7418
feature_d,0.15,0.7376
feature_d,0.16,0.7345
feature_d,0.17,0.6658
feature_d,0.18,0.6753
feature_d,0.19,0.6697
feature_d,0.20,0.6989
feature_d,0.21,0.6407
feature_d,0.22,0.6905
feature_d,0.23,0.6788
feature_d,0.24,0.6411
feature_d,0.25,0.6271
feature_p,0.01,0.8551
feature_p,0.02,0.7951
feature_p,0.03,0.8095
feature_p,0.04,0.8501
feature_p,0.05,0.7957
feature_p,0.06,0.8588
feature_p,0.07,0.8628
feature_p,0.08,0.8678
feature_p,0.09,0.7441
feature_p,0.10,0.6544
feature_p,0.11,0.7644
feature_p,0.12,0.7634
feature_p,0.13,0.8528
feature_p,0.14,0.8069
feature_p,0.15,0.7885
feature_p,0.16,0.6701
feature_p,0.17,0.6483
feature_p,0.18,0.7459
feature_p,0.19,0.7183
feature_p,0.20,0.7485
feature_p,0.21,0.7095
feature_p,0.22,0.6893
feature_p,0.23,0.6709
feature_p,0.24,0.7241
feature_p,0.25,0.5372
